RunNumber,1
0,10000000-12000000
1,10000000-12000000
2,10000000-12000000
3,10000000-12000000
4,10000000-12000000
5,10000000-12000000
6,10000000-12000000
7,10000000-12000000
8,10000000-12000000
9,10000000-12000000
10,10000000-12000000
11,10000000-12000000
12,10000000-12000000
13,10000000-12000000
14,10000000-12000000
15,10000000-12000000
16,10000000-12000000
17,10000000-12000000
18,10000000-12000000
19,10000000-12000000
20,10000000-12000000
21,10000000-12000000
22,10000000-12000000
23,10000000-12000000
24,10000000-12000000
25,10000000-12000000
26,10000000-12000000
27,10000000-12000000
28,10000000-12000000
29,10000000-12000000
